"V","I"
-5.0,-0.00991
-4.9,-0.0097
-4.8,-0.009500000000000001
-4.7,-0.00931
-4.6,-0.009120000000000001
-4.5,-0.00892
-4.4,-0.00872
-4.3,-0.008520000000000002
-4.2,-0.008320000000000001
-4.1,-0.00812
-4.0,-0.007930000000000001
-3.9,-0.00774
-3.8,-0.007540000000000001
-3.7,-0.00734
-3.5999999999999996,-0.0071400000000000005
-3.5,-0.0069500000000000004
-3.4,-0.006750000000000001
-3.3,-0.00655
-3.2,-0.006350000000000001
-3.0999999999999996,-0.00615
-3.0,-0.00595
-2.9,-0.005750000000000001
-2.8,-0.00555
-2.6999999999999997,-0.00536
-2.5999999999999996,-0.0051600000000000005
-2.5,-0.00496
-2.4,-0.00476
-2.3,-0.00457
-2.1999999999999997,-0.004370000000000001
-2.0999999999999996,-0.00417
-2.0,-0.0039900000000000005
-1.9,-0.0037900000000000004
-1.7999999999999998,-0.0035900000000000003
-1.6999999999999997,-0.0033900000000000002
-1.5999999999999996,-0.00319
-1.5,-0.00299
-1.4,-0.0027900000000000004
-1.2999999999999998,-0.0026000000000000003
-1.1999999999999997,-0.0024000000000000002
-1.0999999999999996,-0.0022
-1.0,-0.002
-0.8999999999999995,-0.0018000000000000002
-0.7999999999999998,-0.0016
-0.7000000000000002,-0.0014000000000000002
-0.5999999999999996,-0.0012000000000000001
-0.5,-0.001
-0.39999999999999947,-0.0007949999999999999
-0.2999999999999998,-0.000597
-0.1999999999999993,-0.000397
-0.09999999999999964,-0.00019899999999999999
0.0,2.16e-07
0.10000000000000053,2.051e-06
0.20000000000000018,0.000403
0.3000000000000007,0.000601
0.40000000000000036,0.000799
0.5,0.0009989999999999999
0.6000000000000005,0.0012
0.7000000000000002,0.0014
0.8000000000000007,0.001598
0.9000000000000004,0.001797
1.0,0.001995
1.1000000000000005,0.0022
1.2000000000000002,0.0024000000000000002
1.3000000000000007,0.0025900000000000003
1.4000000000000004,0.0027900000000000004
1.5,0.00299
1.6000000000000005,0.00319
1.7000000000000002,0.0033900000000000002
1.8000000000000007,0.0035900000000000003
1.9000000000000004,0.0037900000000000004
2.0,0.0039900000000000005
2.1000000000000005,0.0041800000000000006
2.2,0.00438
2.3000000000000007,0.004580000000000001
2.4000000000000004,0.00478
2.5,0.00498
2.6000000000000005,0.005180000000000001
2.7,0.00538
2.8000000000000007,0.00557
2.9000000000000004,0.00578
3.0,0.0059700000000000005
3.0999999999999996,0.00617
3.200000000000001,0.00638
3.3000000000000007,0.00657
3.4000000000000004,0.006770000000000001
3.5,0.0069700000000000005
3.5999999999999996,0.0071600000000000006
3.700000000000001,0.00736
3.8000000000000007,0.00755
3.9000000000000004,0.007750000000000001
4.0,0.00795
4.1,0.00817
4.200000000000001,0.00837
4.300000000000001,0.008570000000000001
4.4,0.00876
4.5,0.008960000000000001
4.600000000000001,0.009160000000000001
4.700000000000001,0.00936
4.800000000000001,0.00956
4.9,0.009760000000000001
5.0,0.00995
