"Vin","Vout"
-5.0,-1.6520000000000001
-4.9,-1.627
-4.8,-1.594
-4.7,-1.561
-4.6,-1.5290000000000001
-4.5,-1.497
-4.4,-1.463
-4.3,-1.429
-4.2,-1.395
-4.1,-1.362
-4.0,-1.33
-3.9,-1.297
-3.8,-1.264
-3.7,-1.23
-3.5999999999999996,-1.197
-3.5,-1.164
-3.4,-1.131
-3.3,-1.098
-3.2,-1.064
-3.0999999999999996,-1.031
-3.0,-0.997
-2.9,-0.963
-2.8,-0.93
-2.6999999999999997,-0.897
-2.5999999999999996,-0.864
-2.5,-0.8310000000000001
-2.4,-0.797
-2.3,-0.764
-2.1999999999999997,-0.731
-2.0999999999999996,-0.6980000000000001
-2.0,-0.668
-1.9,-0.635
-1.7999999999999998,-0.601
-1.6999999999999997,-0.5680000000000001
-1.5999999999999996,-0.534
-1.5,-0.5
-1.4,-0.467
-1.2999999999999998,-0.434
-1.1999999999999997,-0.4
-1.0999999999999996,-0.367
-1.0,-0.333
-0.8999999999999995,-0.3
-0.7999999999999998,-0.266
-0.7000000000000002,-0.233
-0.5999999999999996,-0.2
-0.5,-0.166
-0.39999999999999947,-0.133
-0.2999999999999998,-0.099
-0.1999999999999993,-0.066
-0.09999999999999964,-0.032
0.0,0.002
0.10000000000000053,0.012
0.20000000000000018,0.07
0.3000000000000007,0.10400000000000001
0.40000000000000036,0.137
0.5,0.171
0.6000000000000005,0.203
0.7000000000000002,0.23700000000000002
0.8000000000000007,0.27
0.9000000000000004,0.304
1.0,0.337
1.1000000000000005,0.371
1.2000000000000002,0.405
1.3000000000000007,0.438
1.4000000000000004,0.47100000000000003
1.5,0.505
1.6000000000000005,0.539
1.7000000000000002,0.5720000000000001
1.8000000000000007,0.606
1.9000000000000004,0.639
2.0,0.673
2.1000000000000005,0.706
2.2,0.739
2.3000000000000007,0.772
2.4000000000000004,0.806
2.5,0.839
2.6000000000000005,0.872
2.7,0.907
2.8000000000000007,0.9390000000000001
2.9000000000000004,0.974
3.0,1.0070000000000001
3.0999999999999996,1.04
3.200000000000001,1.075
3.3000000000000007,1.107
3.4000000000000004,1.1400000000000001
3.5,1.174
3.5999999999999996,1.206
3.700000000000001,1.241
3.8000000000000007,1.2730000000000001
3.9000000000000004,1.306
4.0,1.34
4.1,1.377
4.200000000000001,1.411
4.300000000000001,1.444
4.4,1.477
4.5,1.51
4.600000000000001,1.544
4.700000000000001,1.578
4.800000000000001,1.612
4.9,1.645
5.0,1.678
